No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Jones, Taiwan",RB,run,ACT,72,195,26-Jul-88,6,Eastern Washington,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Jones-Quartey, Harold",SS,dback,ACT,71,210,06-Aug-93,2,Findlay,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Jordan, Cameron",DE,def,ACT,76,287,10-Jul-89,6,California,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Jordan, Michael",DB,dback,ACT,72,200,21-Oct-92,0,Missouri Western State,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Joseph, Johnathan",CB,dback,ACT,71,185,16-Apr-84,11,South Carolina,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Joseph, Karl",SS,dback,ACT,70,207,08-Sep-93,0,West Virginia,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Joseph, Linval",DT,def,ACT,76,329,10-Oct-88,7,East Carolina,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Joyner, Lamarcus",CB,dback,ACT,68,184,27-Nov-90,3,Florida State,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Judon, Matt",LB,lineb,ACT,75,275,15-Aug-92,0,Grand Valley State,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Juszczyk, Kyle",FB,run,ACT,73,240,23-Apr-91,4,Harvard,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Kaepernick, Colin",QB,other,ACT,76,230,03-Nov-87,6,Nevada,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Kalil, Matt",T,off,RES,79,317,06-Jul-89,5,USC,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Kalil, Ryan",C,off,RES,74,300,29-Mar-85,10,USC,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Kamalu, Ufomba",DE,def,ACT,78,297,02-Nov-92,0,Miami (Fla.),Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Karras, Ted",OG,other,ACT,76,305,15-Mar-93,0,Illinois,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Kaser, Drew",P,other,ACT,74,206,11-Feb-93,0,Texas A&M,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Kaufusi, Bronson",DE,def,RES,78,285,06-Jul-91,0,Brigham Young,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Kearse, Jayron",SS,dback,ACT,76,215,11-Feb-94,0,Clemson,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Kearse, Jermaine",WR,wide,ACT,73,209,06-Feb-90,5,Washington,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Keenum, Case",QB,other,ACT,73,205,17-Feb-88,5,Houston,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Keeton, Bryson",DB,dback,ACT,74,190,24-Feb-93,0,Montana State,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Kelce, Travis",TE,tight,ACT,77,260,05-Oct-89,4,Cincinnati,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Kelemete, Senio",G,off,ACT,75,300,10-May-90,4,Washington,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Kelley, Rob",RB,run,ACT,72,228,03-Oct-92,0,Tulane,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Kelly, Dennis",OT,other,ACT,80,321,16-Jan-90,5,Purdue,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Kelly, Ryan",C,off,ACT,76,313,30-May-93,0,Alabama,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Kendricks, Eric",MLB,lineb,ACT,72,232,29-Feb-92,2,UCLA,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Kendricks, Lance",TE,tight,ACT,75,250,30-Jan-88,6,Wisconsin,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Kennard, Devon",OLB,lineb,ACT,75,251,24-Jun-91,3,USC,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Keo, Shiloh",DB,dback,ACT,71,208,17-Dec-87,5,Idaho,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Kerin, Zac",OG,other,ACT,77,305,13-Aug-91,2,Toledo,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Kerley, Jeremy",WR,wide,ACT,69,188,08-Nov-88,6,Texas Christian,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Kern, Brett",P,other,ACT,74,214,17-Feb-86,9,Toledo,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Kerr, Zach",DE,def,ACT,74,334,29-Aug-90,3,Delaware,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Kerridge, Joe",RB,run,ACT,71,242,17-Sep-92,0,Michigan,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Kerrigan, Ryan",OLB,lineb,ACT,76,265,16-Aug-88,6,Purdue,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Kessler, Cody",QB,other,ACT,73,215,11-May-93,0,USC,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Keyes, Josh",LB,lineb,ACT,74,223,23-Jan-93,2,Boston College,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Kikaha, Hau'oli",OLB,lineb,PUP,75,246,24-Jul-92,2,Washington,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Kilgore, Daniel",C,off,RES,75,308,18-Dec-87,6,Appalachian State,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Killebrew, Miles",SS,dback,ACT,74,222,10-May-93,0,Southern Utah,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"King, Akeem",DB,dback,RES,73,212,29-Oct-92,2,San Jose State,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"King, Brandon",DB,dback,ACT,74,220,08-Jun-93,2,Auburn,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"King, Deon",LB,lineb,ACT,72,225,02-Jul-93,0,Norfolk State,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"King, Marquette",P,other,ACT,72,195,26-Oct-88,5,Fort Valley State,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"King, Tavarres",WR,wide,ACT,73,200,14-Jul-90,2,Georgia,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Kirkland, Denver",OG,other,ACT,76,335,06-Mar-94,0,Arkansas,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Kirkpatrick, Dre",CB,dback,ACT,74,185,26-Oct-89,5,Alabama,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Kirksey, Christian",ILB,lineb,ACT,74,235,31-Aug-92,3,Iowa,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Klein, A.J.",MLB,lineb,ACT,73,240,30-Jul-91,4,Iowa State,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Kline, Josh",OG,other,ACT,75,300,29-Dec-89,4,Kent State,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Klug, Karl",DE,def,RES,75,278,31-Mar-88,6,Iowa,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Koch, Sam",P,other,ACT,73,222,13-Aug-82,11,Nebraska,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Kouandjio, Arie",OG,other,ACT,77,325,23-Apr-92,2,Alabama,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Kouandjio, Cyrus",T,off,ACT,79,322,21-Jul-93,3,Alabama,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Koyack, Ben",TE,tight,ACT,77,269,09-Apr-93,1,Notre Dame,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Kreiter, Casey",LS,other,RES,73,250,13-Aug-90,1,Iowa,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Krieger-Coble, Henry",TE,tight,ACT,75,248,12-Jun-92,0,Iowa,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Kroft, Tyler",TE,tight,ACT,78,250,15-Oct-92,2,Rutgers,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Kruger, Paul",DE,def,ACT,76,270,15-Feb-86,8,Utah,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Kuechly, Luke",MLB,lineb,ACT,75,238,20-Apr-91,5,Boston College,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Kuhn, John",FB,run,ACT,72,250,09-Sep-82,11,Shippensburg,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Kumerow, Jake",WR,wide,ACT,76,206,17-Feb-92,1,Wis.-Whitewater,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Kush, Eric",OG,other,ACT,76,313,09-Sep-89,3,California (PA),Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Kwiatkoski, Nick",ILB,lineb,ACT,74,242,26-May-93,0,West Virginia,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"LaCosse, Matt",TE,tight,RES,77,261,21-Sep-92,1,Illinois,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Lacy, Eddie",RB,run,RES,71,234,02-Jun-90,4,Alabama,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"LaDouceur, L.P.",LS,other,ACT,77,256,13-Mar-81,12,California,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"LaFell, Brandon",WR,wide,ACT,75,210,04-Nov-86,7,LSU,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Lambert, DaVonte",DE,def,ACT,74,282,23-Jun-94,0,Auburn,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Lambo, Josh",K,kick,ACT,72,215,19-Nov-90,2,Texas A&M,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Lamm, Kendall",T,off,ACT,78,310,05-Jun-92,2,Appalachian State,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Lampman, Jake",WR,wide,ACT,72,205,11-Jun-93,0,Ferris State,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Lamur, Emmanuel",LB,lineb,ACT,76,245,08-Jun-89,5,Kansas State,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Landes, Jimmy",LS,other,RES,73,252,13-Aug-92,0,Baylor,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Landrum, Chris",LB,lineb,ACT,74,245,14-Sep-92,0,Jacksonville State,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Landry, Jarvis",WR,wide,ACT,71,206,28-Nov-92,3,LSU,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Lane, Jeremy",CB,dback,ACT,72,190,14-Jul-90,5,Northwestern State-Louisiana,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Lang, T.J.",G,off,ACT,76,318,20-Sep-87,8,Eastern Michigan,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Langford, Jeremy",RB,run,ACT,72,211,06-Dec-91,2,Michigan State,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Langford, Kendall",DE,def,RES,78,305,27-Jan-86,9,Hampton,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Lanier, Anthony",DE,def,RES,78,282,08-May-93,0,Alabama A&M,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Larsen, Ted",OG,other,ACT,74,315,13-Jun-87,7,North Carolina State,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Larsen, Tyler",C,off,ACT,76,335,08-Jul-91,1,Utah,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Lasco, Daniel",RB,run,ACT,72,205,09-Oct-92,0,California,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Lasike, Paul",FB,run,ACT,70,258,18-Jun-90,1,Brigham Young,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Laskey, Zach",FB,run,RES,74,225,08-Jul-92,1,Georgia Tech,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Latham, Darius",DT,def,ACT,76,306,09-Nov-94,0,Indiana,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Latimer, Cody",WR,wide,ACT,74,215,10-Oct-92,3,Indiana,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Lauvao, Shawn",G,off,ACT,75,326,26-Oct-87,7,Arizona State,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Lawrence, Demarcus",DE,def,ACT,75,270,28-Apr-92,3,Boise State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Lawrence-Stample, Nile",DT,def,RES,73,320,14-Jul-92,0,Florida State,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Lawson, Nevin",CB,dback,ACT,69,192,23-Apr-91,3,Utah State,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Lawson, Shaq",DE,def,ACT,75,270,17-Jun-94,0,Clemson,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Leary, Ronald",G,off,ACT,75,320,29-Apr-89,4,Memphis,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"LeBlanc, Cre'von",CB,dback,ACT,70,190,25-Jul-94,0,Florida Atlantic,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Lechler, Shane",P,other,ACT,74,230,07-Aug-76,17,Texas A&M,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Lee, Andy",P,other,RES,73,185,11-Aug-82,13,Pittsburgh,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Lee, Darron",ILB,lineb,ACT,73,232,18-Oct-94,0,Ohio State,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Lee, Marqise",WR,wide,ACT,72,200,25-Nov-91,3,USC,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Lee, Sean",OLB,lineb,ACT,74,238,22-Jul-86,7,Penn State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Lelito, Tim",OG,other,ACT,76,315,21-Jul-89,4,Grand Valley State,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Lemonier, Corey",OLB,lineb,ACT,75,255,19-Nov-91,4,Auburn,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Lengel, Matt",TE,tight,ACT,79,266,27-Dec-90,1,Eastern Kentucky,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Leno, Charles, Jr.",T,off,ACT,75,305,09-Oct-91,3,Boise State,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Levine, Anthony",CB,dback,ACT,71,200,27-Mar-87,5,Tennessee State,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Levitre, Andy",G,off,ACT,74,303,15-May-86,8,Oregon State,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Levy, DeAndre",OLB,lineb,ACT,74,234,26-Mar-87,8,Wisconsin,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Lewan, Taylor",T,off,ACT,79,309,22-Jul-91,3,Michigan,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Lewis, Alex",OG,other,ACT,78,315,21-Apr-92,0,Nebraska,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Lewis, Dezmin",WR,wide,ACT,76,214,05-Dec-92,1,Central Arkansas,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Lewis, Dion",RB,run,ACT,68,195,27-Sep-90,5,Pittsburgh,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Lewis, Kendrick",FS,dback,RES,72,205,16-Jun-88,7,Mississippi,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Lewis, Marcedes",TE,tight,RES,78,280,19-May-84,11,UCLA,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Lewis, Patrick",C,off,ACT,73,311,30-Jan-91,4,Texas A&M,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Lewis, Roger",WR,wide,ACT,72,196,27-Nov-93,0,Bowling Green State,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Lewis, Thad",QB,other,RES,74,219,19-Nov-87,4,Duke,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Lewis, Tommylee",WR,wide,ACT,67,168,24-Oct-92,0,Northern Illinois,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Lewis-Harris, Chris",CB,dback,ACT,70,185,11-Feb-89,4,Tennessee-Chattanooga,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Lichtensteiger, Kory",C,off,ACT,74,295,22-Mar-85,8,Bowling Green State,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Linder, Brandon",C,off,ACT,78,309,25-Jan-92,3,Miami (Fla.),Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Line, Zach",FB,run,ACT,73,233,26-Apr-90,4,Southern Methodist,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Linsley, Corey",C,off,ACT,75,301,27-Jul-91,3,Ohio State,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Lippett, Tony",CB,dback,ACT,75,194,02-Jul-92,2,Michigan State,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Lissemore, Sean",NT,def,RES,75,303,11-Sep-87,7,William & Mary,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Littleton, Cory",OLB,lineb,ACT,75,227,18-Nov-93,0,Washington,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Liuget, Corey",DE,def,ACT,74,300,18-Mar-90,6,Illinois,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Locke, Jeff",P,other,ACT,72,195,27-Sep-89,4,UCLA,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Lockett, Tyler",WR,wide,RES,70,182,28-Sep-92,2,Kansas State,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Long, Chris",DE,def,ACT,75,270,28-Mar-85,9,Virginia,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Long, Jake",OT,other,RES,79,322,09-May-85,9,Michigan,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Long, Kyle",OG,other,RES,78,320,05-Dec-88,4,Oregon,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Long, Spencer",C,off,ACT,77,324,08-Nov-90,3,Nebraska,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Longacre, Matt",DE,def,ACT,75,260,21-Sep-91,2,Northwest Missouri State,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Looney, Joe",OG,other,ACT,75,315,31-Aug-90,4,Wake Forest,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Lotulelei, Star",DT,def,ACT,74,315,20-Dec-89,4,Utah,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Louis, Lamar",LB,lineb,ACT,71,232,02-Oct-93,0,LSU,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Louis, Ricardo",WR,wide,ACT,74,215,23-Mar-94,0,Auburn,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Love, Kyle",DE,def,ACT,73,315,18-Nov-86,5,Mississippi State,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Lowery, Dwight",FS,dback,ACT,71,212,23-Jan-86,9,San Jose State,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Lowry, Dean",DE,def,ACT,78,296,09-Jun-94,0,Northwestern,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Lucas, Cornelius",T,off,ACT,81,330,18-Jul-91,3,Kansas State,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Lucas, Jordan",SS,dback,ACT,72,204,02-Aug-93,0,Penn State,Dolphins,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Luck, Andrew",QB,other,ACT,76,240,12-Sep-89,5,Stanford,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Luckett, Cavellis",LB,lineb,RES,72,245,06-Dec-92,0,Middle Tennessee State,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Lutz, Wil",K,kick,ACT,71,184,07-Jul-94,0,Georgia State,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Lynch, Aaron",OLB,lineb,ACT,77,270,08-Mar-93,3,South Florida,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Lynch, Cameron",LB,lineb,ACT,72,229,04-Aug-93,2,Syracuse,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Lynch, Paxton",QB,other,ACT,79,244,12-Feb-94,0,Memphis,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Mack, Alex",C,off,ACT,76,311,19-Nov-85,8,California,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Mack, Khalil",DE,def,ACT,75,250,22-Feb-91,3,Buffalo,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Maclin, Jeremy",WR,wide,ACT,72,198,11-May-88,8,Missouri,Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Madden, Tre",RB,run,RES,72,223,16-Aug-93,0,USC,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Magee, Terrence",RB,run,ACT,69,215,16-Mar-93,2,LSU,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Mager, Craig",CB,dback,RES,71,200,11-Jun-92,2,Texas State,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Maggitt, Curt",OLB,lineb,RES,75,250,04-Feb-93,0,Tennessee,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Mallett, Ryan",QB,other,ACT,78,250,05-Jun-88,6,Arkansas,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Mancz, Greg",C,off,ACT,76,310,23-Apr-92,2,Toledo,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Mangold, Nick",C,off,RES,76,307,13-Jan-84,11,Ohio State,Jets,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Manhart, Cole",OG,other,RES,76,298,25-Sep-92,1,Nebraska-Kearney,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Manhertz, Chris",TE,tight,ACT,78,255,10-Apr-92,1,Canisius,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
