No,Name,Pos,PosGroup,Status,Height,Weight,Birthdate,Exp,College,Team,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Anderson, Zaire",ILB,lineb,ACT,71,224,18-Aug-92,1,Nebraska,Broncos,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Andrews, Antonio",RB,run,ACT,70,225,17-Aug-92,3,Western Kentucky,Titans,Tennessee ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Andrews, David",C,off,ACT,75,295,10-Jul-92,2,Georgia,Patriots,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Anger, Bryan",P,other,ACT,75,205,06-Oct-88,5,California,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Annen, Blake",TE,tight,RES,76,247,28-May-91,2,Cincinnati,Bills,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Ansah, Ezekiel",DE,def,ACT,77,275,29-May-89,4,Brigham Young,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Anthony, Stephone",OLB,lineb,RES,75,245,28-Jul-92,2,Clemson,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Apple, Eli",CB,dback,ACT,73,199,09-Aug-95,0,Ohio State,Giants,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Arkin, David",OG,other,ACT,77,307,07-Oct-87,3,Missouri State,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Armbrister, Thurston",OLB,lineb,ACT,75,235,25-Dec-92,2,Miami (Fla.),Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Armstead, Arik",DE,def,RES,79,292,15-Nov-93,2,Oregon,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Armstead, Terron",T,off,RES,77,304,23-Jul-91,4,Arkansas-Pine Bluff,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Armstrong, Ray-Ray",OLB,lineb,RES,75,220,05-Mar-91,4,Miami (Fla.),49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Arrington, Kyle",CB,dback,RES,70,186,12-Aug-86,8,Hofstra,Ravens,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Artis-Payne, Cameron",RB,run,ACT,70,220,23-Jun-90,2,Auburn,Panthers,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Ash, Richard",NT,def,ACT,75,333,04-Aug-92,1,Western Michigan,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Asiata, Matt",RB,run,ACT,72,219,24-Jul-87,5,Utah,Vikings,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Atkins, Geno",DT,def,ACT,73,300,28-Mar-88,7,Georgia,Bengals,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Atkinson, George",RB,run,ACT,73,220,29-Nov-92,1,Notre Dame,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Attaochu, Jeremiah",OLB,lineb,RES,75,252,17-Jan-93,3,Georgia Tech,Chargers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Austin, Tavon",WR,wide,ACT,68,176,15-Mar-91,4,West Virginia,Rams,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Autry, Denico",DE,def,ACT,77,270,15-Jul-90,3,Mississippi State,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Avril, Cliff",DE,def,ACT,75,260,08-Apr-86,9,Purdue,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Ayers, Akeem",LB,lineb,ACT,75,255,10-Jul-89,6,UCLA,Colts,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Ayers, DeMarcus",WR,wide,ACT,70,190,07-Jul-94,0,Houston,Steelers,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Ayers, Robert",DE,def,ACT,75,275,06-Sep-85,8,Tennessee,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Babineaux, Jonathan",DT,def,ACT,74,300,12-Oct-81,12,Iowa,Falcons,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Bademosi, Johnson",CB,dback,ACT,72,206,23-Jul-90,5,Stanford,Lions,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Bailey, Allen",DE,def,RES,75,288,25-Mar-89,6,Miami (Fla.),Chiefs,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Bailey, Alvin",OG,other,ACT,75,320,26-Aug-91,4,Arkansas,Browns,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Bailey, Dan",K,kick,ACT,72,195,26-Jan-88,6,Oklahoma State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Baker, Chris",DE,def,ACT,74,320,08-Oct-87,5,Hampton,Redskins,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Bakhtiari, David",T,off,ACT,76,310,30-Sep-91,4,Colorado,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Balducci, Alex",C,off,ACT,76,310,01-Mar-94,0,Oregon,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Baldwin, Darryl",T,off,RES,78,305,06-Oct-91,1,Ohio State,Cowboys,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Baldwin, Doug",WR,wide,ACT,70,192,21-Sep-88,6,Stanford,Seahawks,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Ball, Marcus",DB,dback,ACT,73,215,21-Jul-87,2,Memphis,49ers,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Ball, Neiron",OLB,lineb,RES,75,235,20-Aug-92,2,Florida,Raiders,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Ballentine, Lonnie",SAF,other,RES,75,215,23-Apr-93,3,Memphis,Texans,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Banjo, Chris",CB,dback,ACT,70,207,26-Feb-90,3,Southern Methodist,Saints,Lousiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Banks, Johnthan",CB,dback,ACT,74,185,03-Oct-89,4,Mississippi State,Bears,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Banyard, Joe",RB,run,ACT,70,223,12-Nov-88,4,Texas-El Paso,Jaguars,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Barber, Peyton",RB,run,ACT,70,225,27-Jun-94,0,Auburn,Buccaneers,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Barclay, Don",OG,other,ACT,76,305,18-Apr-89,5,West Virginia,Packers,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
